Item,Speed,Accuracy,Predicted_Speed,Predicted_Accuracy
64,75,0.976,73.17284955173754,0.9700125885395828
65,71,0.96,73.19405904329352,0.970110753790931
66,71,0.97,73.21526853484951,0.9702089190422791
67,57,0.922,73.23647802640549,0.9703070842936273
68,77,0.9590000000000001,73.25768751796149,0.9704052495449755
69,57,0.9470000000000001,73.27889700951746,0.9705034147963236
70,72,0.972,73.30010650107346,0.9706015800476718
71,77,0.978,73.32131599262944,0.97069974529902
72,75,0.971,73.34252548418543,0.9707979105503681
73,68,0.9570000000000001,73.36373497574141,0.9708960758017163
74,77,0.986,73.3849444672974,0.9709942410530645
75,75,0.9640000000000001,73.40615395885338,0.9710924063044126
76,57,0.961,73.42736345040937,0.9711905715557608
77,65,0.976,73.44857294196535,0.971288736807109
78,67,0.963,73.46978243352135,0.9713869020584571
79,67,0.9740000000000001,73.49099192507734,0.9714850673098053
80,73,0.972,73.51220141663332,0.9715832325611535
81,88,0.982,73.53341090818931,0.9716813978125016
82,60,0.956,73.55462039974529,0.9717795630638498
83,67,0.971,73.57582989130128,0.971877728315198
84,64,0.976,73.59703938285726,0.9719758935665462
85,66,0.9690000000000001,73.61824887441325,0.9720740588178943
86,77,0.983,73.63945836596923,0.9721722240692425
87,78,0.9740000000000001,73.66066785752523,0.9722703893205907
88,80,0.978,73.6818773490812,0.9723685545719388
89,83,0.9740000000000001,73.7030868406372,0.972466719823287
90,80,0.968,73.72429633219318,0.9725648850746352
91,73,0.968,73.74550582374917,0.9726630503259833
92,69,0.978,73.76671531530515,0.9727612155773315
93,78,0.986,73.78792480686114,0.9728593808286797
94,81,0.986,73.80913429841712,0.9729575460800278
95,61,0.98,73.83034378997311,0.973055711331376
96,74,0.9690000000000001,73.8515532815291,0.9731538765827242
97,70,0.9520000000000001,73.87276277308509,0.9732520418340723
98,74,0.9740000000000001,73.89397226464108,0.9733502070854205
99,73,0.985,73.91518175619706,0.9734483723367687
100,79,0.982,73.93639124775305,0.9735465375881168
101,74,0.9640000000000001,73.95760073930903,0.973644702839465
102,79,0.971,73.97881023086502,0.9737428680908132
103,86,0.99,74.000019722421,0.9738410333421614
104,72,0.978,74.021229213977,0.9739391985935095
105,67,0.975,74.04243870553297,0.9740373638448577
106,77,0.976,74.06364819708897,0.9741355290962059
107,75,0.966,74.08485768864495,0.974233694347554
108,73,0.9790000000000001,74.10606718020094,0.9743318595989022
109,79,0.9740000000000001,74.12727667175692,0.9744300248502504
110,72,0.97,74.14848616331291,0.9745281901015985
111,88,0.986,74.16969565486889,0.9746263553529467
112,87,0.9890000000000001,74.19090514642488,0.9747245206042949
113,57,0.9640000000000001,74.21211463798086,0.974822685855643
114,74,0.9740000000000001,74.23332412953685,0.9749208511069912
115,73,0.971,74.25453362109283,0.9750190163583394
116,83,0.9840000000000001,74.27574311264883,0.9751171816096875
117,84,0.9740000000000001,74.29695260420482,0.9752153468610357
118,64,0.953,74.3181620957608,0.9753135121123839
119,73,0.977,74.33937158731679,0.975411677363732
120,76,0.9740000000000001,74.36058107887277,0.9755098426150802
121,76,0.981,74.38179057042876,0.9756080078664284
122,70,0.965,74.40300006198474,0.9757061731177766
123,75,0.9690000000000001,74.42420955354073,0.9758043383691247
124,71,0.975,74.44541904509671,0.9759025036204729
125,76,0.97,74.4666285366527,0.9760006688718211
126,65,0.95,74.48783802820869,0.9760988341231692
127,62,0.971,74.50904751976468,0.9761969993745174
128,61,0.97,74.53025701132066,0.9762951646258656
129,73,0.9790000000000001,74.55146650287665,0.9763933298772137
130,85,0.985,74.57267599443263,0.9764914951285619
131,88,0.973,74.59388548598862,0.9765896603799101
132,81,0.977,74.6150949775446,0.9766878256312582
133,83,0.981,74.6363044691006,0.9767859908826064
134,89,0.982,74.65751396065657,0.9768841561339546
135,83,0.978,74.67872345221257,0.9769823213853027
136,60,0.9670000000000001,74.69993294376856,0.9770804866366509
137,83,0.991,74.72114243532454,0.9771786518879991
138,78,0.978,74.74235192688053,0.9772768171393472
139,72,0.972,74.76356141843651,0.9773749823906954
140,61,0.9540000000000001,74.7847709099925,0.9774731476420436
141,65,0.97,74.80598040154848,0.9775713128933918
